,id,name,alias1,alias2,alias3,gek,predicates,studbookId,father,fatherId,mother,motherId,fatherOfMother,fatherOfMotherId,year,studbook,reg,fei,redId,sex,chipnumber,isDeceased
163,2437889,POW WOW Z,,,,,,5.0,POMMEROL DE MUZE,1969485.0,CLEAR DAZE,2181291.0,CLEARWAY,72434.0,2019,Zangersheide,,,1607639.0,1,,False
164,2437861,ONBEK,,,,,,32.0,,,,,,,2019,Finnish Warmblood,,,1607013.0,0,,False
165,2437793,M,,,,,,2.0,MILLION DOLLAR,1704611.0,GERLINDE,1858711.0,DIARADO,254807.0,2019,Holsteiner Verband,276421000616019,,1617083.0,2,,False
166,2437624,SUDDER,,,,,,6.0,,,,,,,2019,Oldenburger Verband,,,1601181.0,2,,False
167,2437617,HERMOSA DELLA MEZZALUNA,,,,,,515.0,CARITO,1546630.0,RICHMEAD DONNIE,2376130.0,DON RAMIRO,1480204.0,2019,Sella Italiano UNIRE,,,1600732.0,2,,False
168,2437608,NEWTON,,,,,,1.0,,,,,,,2019,KWPN (Royal Dutch Sporthorse),,,1599688.0,0,,False
169,2437445,SUDDER,,,,,,1.0,,,,,,,2019,KWPN (Royal Dutch Sporthorse),,,1593044.0,2,,False
170,2437424,SUDDER,,,,,,13.0,,,,,,,2019,Westfälisches Pferdestammbuch e.V.,,,1591959.0,1,,False
171,2437370,TISWATIS V/H GEENEINDE,,,,,,4.0,ERMITAGE KALONE,1895298.0,BONITA Z,2365247.0,BALTIC VDL,365948.0,2019,BWP (Belgium Warmblood),056002w00324140,,1589910.0,0,,False
172,2437365,QARAVAGE BOIS MARGOT Z,,,,,,5.0,QLASSIC BOIS MARGOT,462223.0,LOVE MAISY BOIS MARGOT,2437364.0,L'ARC DE TRIOMPHE,54590.0,2019,Zangersheide,056015Z55733019,,1589880.0,1,,False
173,2437357,ONBEK,,,,,,5.0,,,,,,,2019,Zangersheide,,,1589250.0,1,,False
174,2437337,ONANA KV,,,,,,1.0,OSCAR,2281.0,ANNE,323958.0,OSCAR,2281.0,2019,KWPN (Royal Dutch Sporthorse),5280033201905743,,1588628.0,1,,False
175,2437336,ORAMANTA B,,,,,,1.0,DAKAR,2102910.0,RHAMANTA,188506.0,INDORADO,2830.0,2019,KWPN (Royal Dutch Sporthorse),,,1588590.0,2,,False
176,2437284,C,,,,,,2.0,CASCADELLO I,713566.0,DILDA,1858723.0,CATOKI,38151.0,2019,Holsteiner Verband,276421000068619,,1617086.0,0,,False
177,2437028,G,,,,,,2.0,GRANDORADO TN N.O.P.,1596329.0,H-DAISY,2055601.0,DARCODELLO,1587562.0,2019,Holsteiner Verband,276421000529919,,1617158.0,0,,False
178,2436991,ONBEK,,,,,,29.0,,,,,,,2019,Swiss Warmblood (Zuchtverband CH-Sportpferde),,,1580003.0,2,,False
179,2436990,ONBEK,,,,,,29.0,,,,,,,2019,Swiss Warmblood (Zuchtverband CH-Sportpferde),,,1580001.0,2,,False
180,2436945,ONBEK,,,,,,10.0,,,,,,,2019,Selle Francais,,,1579206.0,2,,False
181,2436762,K,,,,,,2.0,KANNAN GFE,42058.0,UTOPIA XXII,1875491.0,FOR PLEASURE,15154.0,2019,Holsteiner Verband,276421000115719,,1617165.0,0,,False
182,2436761,KITCHAKO XX,,,,,,18.0,KAPGARDE XX,301251.0,,,,,2019,English Thoroughbred (xx),,,1575518.0,1,,False
183,2436662,KINSALE QUILANA S,,,,,,7.0,,,TILANA S,246442.0,WOLFGANG,601.0,2019,Anglo European Studbook,826002190886222,,1572374.0,2,,False
184,2436659,ONLY LIMITED EDITION,,,,,,1.0,,,,,,,2019,KWPN (Royal Dutch Sporthorse),,,1572339.0,2,,False
185,2436559,PENKENDA2019,,,,,,20.0,PENTAGON,219692.0,RAKENDA,2344729.0,RONALDINHO H,220208.0,2019,Swedish Warmblood,752004041902569,,1570196.0,2,,False
186,2436362,C,,,,,,2.0,CASALL,49609.0,ABC PANAMA,162147.0,CARIBIK,19060.0,2019,Holsteiner Verband,276421000119019,,1617292.0,2,,False
187,2436361,ONBEK,,,,,,26.0,,,,,,,2019,Baden Württemberg - Pferdezuchtverband ,,,1565633.0,2,,False
188,2436337,ON THE ROCKS DE SILLY,,,,,,10.0,CIAO DU THOT,1782976.0,FURIBELLE DE SILLY,1847241.0,LAEKEN,3198.0,2019,Selle Francais,25000193007125Y,,1564834.0,2,,False
189,2436108,SUDDER,,,,,,52.0,,,,,,,2019,Irish Sport Horse,,,1557899.0,2,,False
190,2436082,ONBEK,,,,,,5.0,,,,,,,2019,Zangersheide,,,1556657.0,0,,False
191,2436007,JAPURA DE RANGEVAL,,,,,,10.0,CASALL,49609.0,ARMANI KERELLEC,1725925.0,UNTOUCHABLE M,123620.0,2019,Selle Francais,,,1555332.0,2,,False
192,2435922,SUDDER,,,,,,12.0,,,,,,,2019,Hannoveraner Verband e.V,,,1554819.0,2,,False
